EmployeeNumber,Gender,Hourly Rate,JobRole,JobRole_lower,New_job_role,JobSatisfaction,JobSatisfaction_new,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,YearsSinceLastPromotion,Job_role_first,upper_job,M or F,Job_id
63,Male,36,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,1,No,19,3,0,Lab,LAB,M,LAB63M
64,Male,98,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,9,Yes,13,3,0,Lab,LAB,M,LAB64M
65,Male,50,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,1,Yes,13,3,2,Lab,LAB,M,LAB65M
68,Female,75,Sales Executive,sales executive,Sales Executive,1,2.5,5,Yes,21,4,1,Sal,SAL,F,SAL68F
70,Male,79,Healthcare Representative,healthcare representative,Healthcare Representative,1,2.5,2,Yes,13,3,2,Hea,HEA,M,HEA70M
72,Female,47,Sales Executive,sales executive,Sales Executive,4,10,7,Yes,19,3,0,Sal,SAL,F,SAL72F
73,Female,98,Research Director,research director,Research Leader,4,10,1,Yes,12,3,8,Res,RES,F,RES73F
74,Male,71,Sales Executive,sales executive,Sales Executive,1,2.5,1,No,22,4,1,Sal,SAL,M,SAL74M
75,Female,30,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,3,Yes,15,3,2,Lab,LAB,F,LAB75F
76,Male,48,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,3,No,22,4,1,Lab,LAB,M,LAB76M
77,Male,51,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,1,No,18,3,0,Man,MAN,M,MAN77M
78,Male,33,Manufacturing Director,manufacturing director,Manufacturing Leader,4,10,1,Yes,22,4,7,Man,MAN,M,MAN78M
79,Female,50,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,1,No,11,3,9,Lab,LAB,F,LAB79F
80,Female,43,Research Director,research director,Research Leader,3,7.5,5,Yes,12,3,13,Res,RES,F,RES80F
81,Female,99,Sales Executive,sales executive,Sales Executive,1,2.5,7,No,11,3,7,Sal,SAL,F,SAL81F
83,Female,59,Healthcare Representative,healthcare representative,Healthcare Representative,3,7.5,1,No,13,3,12,Hea,HEA,F,HEA83F
84,Female,33,Manager,manager,Manager,3,7.5,2,Yes,14,3,0,Man,MAN,F,MAN84F
85,Male,95,Manufacturing Director,manufacturing director,Manufacturing Leader,2,5,1,No,13,3,0,Man,MAN,M,MAN85M
86,Male,59,Research Scientist,research scientist,Research Scientist,1,2.5,2,No,17,3,0,Res,RES,M,RES86M
88,Male,79,Research Scientist,research scientist,Research Scientist,1,2.5,4,No,13,3,1,Res,RES,M,RES88M
90,Male,79,Research Scientist,research scientist,Research Scientist,3,7.5,0,Yes,17,3,0,Res,RES,M,RES90M
91,Female,57,Sales Executive,sales executive,Sales Executive,3,7.5,7,No,11,3,1,Sal,SAL,F,SAL91F
94,Male,76,Research Scientist,research scientist,Research Scientist,2,5,0,No,23,4,0,Res,RES,M,RES94M
95,Male,87,Research Scientist,research scientist,Research Scientist,2,5,1,No,17,3,1,Res,RES,M,RES95M
96,Male,66,Research Scientist,research scientist,Research Scientist,2,5,1,No,17,3,0,Res,RES,M,RES96M
97,Female,55,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,3,No,12,3,0,Lab,LAB,F,LAB97F
98,Female,61,Manufacturing Director,manufacturing director,Manufacturing Leader,4,10,1,No,23,4,1,Man,MAN,F,MAN98F
100,Male,32,Sales Executive,sales executive,Sales Executive,1,2.5,0,No,14,3,2,Sal,SAL,M,SAL100M
101,Male,52,Research Director,research director,Research Leader,1,2.5,4,Yes,14,3,0,Res,RES,M,RES101M
102,Male,30,Research Director,research director,Research Leader,3,7.5,4,No,13,3,0,Res,RES,M,RES102M
103,Male,80,Human Resources,human resources,Human Resources,2,5,8,Yes,22,4,0,Hum,HUM,M,HUM103M
104,Male,55,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,1,Yes,12,3,3,Lab,LAB,M,LAB104M
105,Male,30,Research Scientist,research scientist,Research Scientist,3,7.5,1,No,18,3,0,Res,RES,M,RES105M
106,Male,70,Sales Executive,sales executive,Sales Executive,4,10,3,No,14,3,1,Sal,SAL,M,SAL106M
107,Female,79,Research Scientist,research scientist,Research Scientist,4,10,7,Yes,12,3,1,Res,RES,F,RES107F
110,Male,94,Manufacturing Director,manufacturing director,Manufacturing Leader,2,5,1,No,15,3,1,Man,MAN,M,MAN110M
112,Male,49,Manufacturing Director,manufacturing director,Manufacturing Leader,4,10,4,No,11,3,0,Man,MAN,M,MAN112M
113,Male,62,Sales Representative,sales representative,Sales Representative,1,2.5,3,No,13,3,0,Sal,SAL,M,SAL113M
116,Male,96,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,3,No,23,4,0,Lab,LAB,M,LAB116M
117,Male,99,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,1,No,19,3,10,Hea,HEA,M,HEA117M
118,Male,64,Sales Executive,sales executive,Sales Executive,4,10,1,No,16,3,4,Sal,SAL,M,SAL118M
119,Male,78,Healthcare Representative,healthcare representative,Healthcare Representative,2,5,1,No,22,4,11,Hea,HEA,M,HEA119M
120,Male,71,Sales Executive,sales executive,Sales Executive,4,10,0,Yes,22,4,1,Sal,SAL,M,SAL120M
121,Female,63,Sales Executive,sales executive,Sales Executive,2,5,1,Yes,12,3,2,Sal,SAL,F,SAL121F
124,Male,40,Healthcare Representative,healthcare representative,Healthcare Representative,1,2.5,2,Yes,13,3,9,Hea,HEA,M,HEA124M
125,Male,87,Sales Executive,sales executive,Sales Executive,3,7.5,1,No,16,3,5,Sal,SAL,M,SAL125M
126,Female,60,Research Director,research director,Research Leader,3,7.5,9,No,12,3,0,Res,RES,F,RES126F
128,Female,33,Sales Executive,sales executive,Sales Executive,3,7.5,0,No,21,4,0,Sal,SAL,F,SAL128F
129,Male,43,Sales Executive,sales executive,Sales Executive,3,7.5,1,No,15,3,0,Sal,SAL,M,SAL129M
131,Male,37,Sales Executive,sales executive,Sales Executive,3,7.5,0,No,13,3,1,Sal,SAL,M,SAL131M
132,Male,67,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,4,No,12,3,1,Lab,LAB,M,LAB132M
133,Male,63,Human Resources,human resources,Human Resources,1,2.5,4,Yes,22,4,0,Hum,HUM,M,HUM133M
134,Male,71,Research Scientist,research scientist,Research Scientist,1,2.5,1,No,13,3,0,Res,RES,M,RES134M
137,Female,66,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,1,Yes,18,3,1,Lab,LAB,F,LAB137F
138,Female,41,Research Scientist,research scientist,Research Scientist,3,7.5,1,No,14,3,2,Res,RES,F,RES138F
139,Male,100,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,5,No,14,3,0,Hea,HEA,M,HEA139M
140,Female,32,Manager,manager,Manager,4,10,9,No,21,4,2,Man,MAN,F,MAN140F
141,Female,73,Research Director,research director,Research Leader,2,5,3,Yes,19,3,0,Res,RES,F,RES141F
142,Male,46,Sales Executive,sales executive,Sales Executive,3,7.5,1,Yes,11,3,0,Sal,SAL,M,SAL142M
143,Male,64,Research Scientist,research scientist,Research Scientist,4,10,1,No,11,3,2,Res,RES,M,RES143M
144,Female,59,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,1,No,15,3,0,Lab,LAB,F,LAB144F
145,Female,30,Healthcare Representative,healthcare representative,Healthcare Representative,1,2.5,3,No,20,4,12,Hea,HEA,F,HEA145F
147,Male,66,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,1,Yes,24,4,0,Lab,LAB,M,LAB147M
148,Female,30,Manager,manager,Manager,4,10,2,Yes,12,3,4,Man,MAN,F,MAN148F
150,Male,52,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,0,No,12,3,1,Lab,LAB,M,LAB150M
151,Female,45,Research Scientist,research scientist,Research Scientist,2,5,6,No,15,3,0,Res,RES,F,RES151F
152,Male,87,Sales Executive,sales executive,Sales Executive,4,10,2,No,12,3,1,Sal,SAL,M,SAL152M
153,Female,45,Manager,manager,Manager,1,2.5,2,No,12,3,5,Man,MAN,F,MAN153F
154,Female,92,Sales Executive,sales executive,Sales Executive,4,10,0,No,14,3,2,Sal,SAL,F,SAL154F
155,Female,39,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,5,No,22,4,0,Lab,LAB,F,LAB155F
158,Male,92,Manager,manager,Manager,4,10,1,Yes,12,3,4,Man,MAN,M,MAN158M
159,Male,96,Research Scientist,research scientist,Research Scientist,3,7.5,1,No,25,4,0,Res,RES,M,RES159M
160,Male,95,Sales Executive,sales executive,Sales Executive,2,5,0,No,13,3,0,Sal,SAL,M,SAL160M
161,Female,72,Research Scientist,research scientist,Research Scientist,2,5,9,Yes,18,3,4,Res,RES,F,RES161F
162,Male,51,Research Director,research director,Research Leader,3,7.5,7,No,13,3,15,Res,RES,M,RES162M
163,Male,76,Sales Executive,sales executive,Sales Executive,3,7.5,4,Yes,18,3,7,Sal,SAL,M,SAL163M
164,Female,46,Research Scientist,research scientist,Research Scientist,2,5,1,No,19,3,4,Res,RES,F,RES164F
165,Female,94,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,1,No,12,3,15,Hea,HEA,F,HEA165F
167,Male,50,Sales Representative,sales representative,Sales Representative,3,7.5,1,Yes,19,3,0,Sal,SAL,M,SAL167M
169,Male,100,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,0,No,14,3,2,Lab,LAB,M,LAB169M
170,Female,96,Manufacturing Director,manufacturing director,Manufacturing Leader,1,2.5,1,No,14,3,5,Man,MAN,F,MAN170F
171,Female,72,Research Scientist,research scientist,Research Scientist,3,7.5,4,No,12,3,1,Res,RES,F,RES171F
174,Female,77,Sales Executive,sales executive,Sales Executive,4,10,4,No,11,3,2,Sal,SAL,F,SAL174F
175,Female,71,Sales Executive,sales executive,Sales Executive,3,7.5,3,Yes,11,3,2,Sal,SAL,F,SAL175F
176,Male,96,Sales Executive,sales executive,Sales Executive,3,7.5,3,Yes,13,3,0,Sal,SAL,M,SAL176M
177,Female,61,Human Resources,human resources,Human Resources,3,7.5,1,No,23,4,5,Hum,HUM,F,HUM177F
178,Male,84,Manufacturing Director,manufacturing director,Manufacturing Leader,2,5,6,No,20,4,0,Man,MAN,M,MAN178M
179,Male,53,Manufacturing Director,manufacturing director,Manufacturing Leader,4,10,2,No,15,3,0,Man,MAN,M,MAN179M
182,Female,47,Sales Executive,sales executive,Sales Executive,3,7.5,4,No,14,3,5,Sal,SAL,F,SAL182F
183,Male,41,Sales Executive,sales executive,Sales Executive,3,7.5,2,No,18,3,2,Sal,SAL,M,SAL183M
184,Male,48,Human Resources,human resources,Human Resources,4,10,0,Yes,19,3,4,Hum,HUM,M,HUM184M
190,Female,41,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,7,No,22,4,0,Lab,LAB,F,LAB190F
192,Male,83,Research Scientist,research scientist,Research Scientist,4,10,5,No,13,3,0,Res,RES,M,RES192M
193,Female,32,Research Scientist,research scientist,Research Scientist,3,7.5,3,Yes,20,4,2,Res,RES,F,RES193F
194,Female,75,Research Scientist,research scientist,Research Scientist,3,7.5,1,No,14,3,0,Res,RES,F,RES194F
195,Male,35,Sales Executive,sales executive,Sales Executive,4,10,0,No,17,3,0,Sal,SAL,M,SAL195M
197,Female,84,Research Scientist,research scientist,Research Scientist,1,2.5,5,No,14,3,2,Res,RES,F,RES197F
198,Male,35,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,0,No,13,3,1,Lab,LAB,M,LAB198M
199,Male,91,Manager,manager,Manager,1,2.5,4,No,13,3,7,Man,MAN,M,MAN199M
200,Male,94,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,2,No,21,4,1,Lab,LAB,M,LAB200M
201,Female,79,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,1,No,14,3,0,Lab,LAB,F,LAB201F
202,Female,54,Research Scientist,research scientist,Research Scientist,2,5,1,No,11,3,2,Res,RES,F,RES202F
204,Male,94,Sales Executive,sales executive,Sales Executive,2,5,1,No,13,3,0,Sal,SAL,M,SAL204M
205,Male,34,Sales Representative,sales representative,Sales Representative,3,7.5,2,Yes,20,4,4,Sal,SAL,M,SAL205M
206,Male,60,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,8,No,18,3,0,Lab,LAB,M,LAB206M
207,Female,43,Sales Executive,sales executive,Sales Executive,4,10,1,No,14,3,3,Sal,SAL,F,SAL207F
208,Male,41,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,1,No,13,3,0,Man,MAN,M,MAN208M
211,Male,34,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,2,No,17,3,0,Man,MAN,M,MAN211M
214,Female,75,Research Scientist,research scientist,Research Scientist,2,5,4,Yes,20,4,0,Res,RES,F,RES214F
215,Male,67,Sales Executive,sales executive,Sales Executive,4,10,7,No,11,3,2,Sal,SAL,M,SAL215M
216,Female,75,Sales Representative,sales representative,Sales Representative,3,7.5,6,No,18,3,1,Sal,SAL,F,SAL216F
217,Male,80,Research Scientist,research scientist,Research Scientist,4,10,1,No,24,4,2,Res,RES,M,RES217M
218,Male,57,Research Scientist,research scientist,Research Scientist,2,5,6,No,18,3,2,Res,RES,M,RES218M
221,Male,42,Research Scientist,research scientist,Research Scientist,4,10,1,No,11,3,0,Res,RES,M,RES221M
223,Male,83,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,3,Yes,16,3,1,Hea,HEA,M,HEA223M
224,Male,79,Research Scientist,research scientist,Research Scientist,3,7.5,1,Yes,15,3,0,Res,RES,M,RES224M
226,Female,53,Manager,manager,Manager,2,5,3,No,15,3,4,Man,MAN,F,MAN226F
227,Male,56,Research Scientist,research scientist,Research Scientist,3,7.5,4,No,12,3,1,Res,RES,M,RES227M
228,Female,41,Sales Executive,sales executive,Sales Executive,4,10,2,No,12,3,7,Sal,SAL,F,SAL228F
230,Female,59,Sales Executive,sales executive,Sales Executive,4,10,4,No,22,4,0,Sal,SAL,F,SAL230F
231,Male,43,Research Scientist,research scientist,Research Scientist,3,7.5,3,No,20,4,1,Res,RES,M,RES231M
233,Male,51,Research Scientist,research scientist,Research Scientist,2,5,0,Yes,16,3,1,Res,RES,M,RES233M
235,Female,100,Sales Representative,sales representative,Sales Representative,1,2.5,0,No,21,4,0,Sal,SAL,F,SAL235F
238,Male,30,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,4,No,12,3,7,Lab,LAB,M,LAB238M
239,Male,66,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,1,No,11,3,6,Lab,LAB,M,LAB239M
240,Female,30,Sales Executive,sales executive,Sales Executive,1,2.5,4,Yes,11,3,0,Sal,SAL,F,SAL240F
241,Female,67,Research Scientist,research scientist,Research Scientist,1,2.5,4,Yes,18,3,2,Res,RES,F,RES241F
242,Male,90,Research Scientist,research scientist,Research Scientist,4,10,0,No,14,3,0,Res,RES,M,RES242M
243,Male,47,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,1,No,22,4,1,Lab,LAB,M,LAB243M
244,Female,92,Sales Executive,sales executive,Sales Executive,1,2.5,1,No,25,4,15,Sal,SAL,F,SAL244F
245,Female,75,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,1,No,12,3,2,Lab,LAB,F,LAB245F
246,Female,95,Research Scientist,research scientist,Research Scientist,4,10,8,Yes,23,4,0,Res,RES,F,RES246F
247,Female,95,Research Scientist,research scientist,Research Scientist,2,5,2,No,15,3,1,Res,RES,F,RES247F
248,Female,70,Sales Representative,sales representative,Sales Representative,2,5,1,Yes,22,4,0,Sal,SAL,F,SAL248F
249,Male,86,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,2,No,15,3,0,Lab,LAB,M,LAB249M
250,Female,57,Manufacturing Director,manufacturing director,Manufacturing Leader,1,2.5,1,No,11,3,1,Man,MAN,F,MAN250F
252,Female,72,Research Scientist,research scientist,Research Scientist,2,5,1,No,13,3,1,Res,RES,F,RES252F
253,Female,46,Manager,manager,Manager,3,7.5,1,No,14,3,9,Man,MAN,F,MAN253F
254,Male,61,Research Director,research director,Research Leader,2,5,8,No,11,3,2,Res,RES,M,RES254M
256,Male,45,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,1,No,17,3,1,Man,MAN,M,MAN256M
258,Female,98,Healthcare Representative,healthcare representative,Healthcare Representative,2,5,3,No,18,3,1,Hea,HEA,F,HEA258F
259,Male,65,Manager,manager,Manager,3,7.5,0,No,14,3,11,Man,MAN,M,MAN259M
260,Female,99,Research Scientist,research scientist,Research Scientist,2,5,1,No,16,3,0,Res,RES,F,RES260F
261,Male,50,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,3,Yes,13,3,0,Man,MAN,M,MAN261M
262,Male,37,Research Scientist,research scientist,Research Scientist,4,10,4,No,14,3,2,Res,RES,M,RES262M
264,Male,65,Manager,manager,Manager,4,10,9,No,23,4,11,Man,MAN,M,MAN264M
267,Male,65,Research Scientist,research scientist,Research Scientist,1,2.5,1,Yes,12,3,1,Res,RES,M,RES267M
269,Female,37,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,5,No,11,3,1,Lab,LAB,F,LAB269F
270,Female,36,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,2,No,16,3,0,Man,MAN,F,MAN270F
271,Male,88,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,9,No,14,3,0,Man,MAN,M,MAN271M
273,Male,54,Manufacturing Director,manufacturing director,Manufacturing Leader,4,10,3,No,18,3,1,Man,MAN,M,MAN273M
274,Male,60,Manufacturing Director,manufacturing director,Manufacturing Leader,1,2.5,5,No,19,3,2,Man,MAN,M,MAN274M
275,Male,92,Manufacturing Director,manufacturing director,Manufacturing Leader,4,10,1,Yes,15,3,1,Man,MAN,M,MAN275M
277,Male,43,Research Scientist,research scientist,Research Scientist,3,7.5,1,Yes,17,3,2,Res,RES,M,RES277M
281,Male,99,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,8,Yes,15,3,3,Lab,LAB,M,LAB281M
282,Male,70,Healthcare Representative,healthcare representative,Healthcare Representative,1,2.5,7,Yes,19,3,0,Hea,HEA,M,HEA282M
283,Female,35,Sales Executive,sales executive,Sales Executive,4,10,1,No,22,4,1,Sal,SAL,F,SAL283F
284,Male,60,Research Scientist,research scientist,Research Scientist,2,5,1,Yes,16,3,2,Res,RES,M,RES284M
286,Female,73,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,1,No,13,3,1,Lab,LAB,F,LAB286F
287,Male,63,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,9,No,14,3,0,Hea,HEA,M,HEA287M
288,Male,97,Healthcare Representative,healthcare representative,Healthcare Representative,1,2.5,7,No,16,3,0,Hea,HEA,M,HEA288M
291,Male,32,Sales Executive,sales executive,Sales Executive,4,10,1,No,11,3,9,Sal,SAL,M,SAL291M
292,Male,88,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,1,No,22,4,5,Man,MAN,M,MAN292M
293,Female,90,Sales Executive,sales executive,Sales Executive,3,7.5,1,No,14,3,0,Sal,SAL,F,SAL293F
296,Male,81,Research Director,research director,Research Leader,2,5,5,No,16,3,4,Res,RES,M,RES296M
297,Female,88,Research Scientist,research scientist,Research Scientist,1,2.5,5,Yes,11,3,0,Res,RES,F,RES297F
298,Female,75,Manager,manager,Manager,4,10,3,Yes,18,3,0,Man,MAN,F,MAN298F
299,Female,52,Sales Executive,sales executive,Sales Executive,1,2.5,5,No,15,3,0,Sal,SAL,F,SAL299F
300,Male,85,Research Scientist,research scientist,Research Scientist,3,7.5,0,No,14,3,1,Res,RES,M,RES300M
302,Female,57,Sales Executive,sales executive,Sales Executive,4,10,6,No,12,3,12,Sal,SAL,F,SAL302F
303,Female,52,Sales Executive,sales executive,Sales Executive,1,2.5,2,No,14,3,0,Sal,SAL,F,SAL303F
304,Male,62,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,8,No,16,3,3,Lab,LAB,M,LAB304M
305,Female,47,Research Scientist,research scientist,Research Scientist,2,5,6,No,21,4,1,Res,RES,F,RES305F
306,Male,47,Research Director,research director,Research Leader,4,10,1,Yes,14,3,0,Res,RES,M,RES306M
307,Male,76,Sales Executive,sales executive,Sales Executive,3,7.5,0,No,12,3,5,Sal,SAL,M,SAL307M
308,Male,90,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,0,No,12,3,1,Man,MAN,M,MAN308M
309,Male,70,Research Scientist,research scientist,Research Scientist,4,10,3,No,17,3,0,Res,RES,M,RES309M
311,Male,41,Sales Representative,sales representative,Sales Representative,4,10,4,No,17,3,5,Sal,SAL,M,SAL311M
312,Female,42,Sales Executive,sales executive,Sales Executive,4,10,1,No,14,3,4,Sal,SAL,F,SAL312F
314,Female,92,Sales Executive,sales executive,Sales Executive,3,7.5,1,No,14,3,0,Sal,SAL,F,SAL314F
315,Male,86,Research Scientist,research scientist,Research Scientist,4,10,1,Yes,13,3,0,Res,RES,M,RES315M
316,Female,89,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,7,No,15,3,2,Lab,LAB,F,LAB316F
319,Male,58,Manager,manager,Manager,4,10,1,No,11,3,11,Man,MAN,M,MAN319M
321,Male,52,Human Resources,human resources,Human Resources,3,7.5,8,No,17,3,2,Hum,HUM,M,HUM321M
323,Female,68,Manager,manager,Manager,4,10,3,No,11,3,0,Man,MAN,F,MAN323F
325,Male,58,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,5,Yes,13,3,0,Lab,LAB,M,LAB325M
327,Female,80,Manager,manager,Manager,4,10,5,Yes,22,4,1,Man,MAN,F,MAN327F
328,Female,39,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,7,No,20,4,1,Lab,LAB,F,LAB328F
329,Male,79,Manager,manager,Manager,3,7.5,1,Yes,18,3,15,Man,MAN,M,MAN329M
